step,reward
0,-60.9591743052369
10,-75.12857145804325
20,-46.19131447023787
30,-53.276667540928564
40,-51.079710219069476
50,-58.90583506236889
60,-51.82915082298096
70,-79.47320647891534
80,-57.06987340939061
90,-43.925463457838724
100,-44.38526885056874
110,-60.822047219954484
120,-43.974790347471256
130,-49.553734676114765
140,-41.29271525218813
150,-46.548400971748386
160,-31.316780106439772
170,-43.446251415295976
180,-37.11379238745058
190,-42.80203917944255
200,-29.033321068484923
210,-42.10238039421394
220,-28.329611696578695
230,-33.66548309912626
240,-26.62605364335758
250,-22.462088365308666
260,-26.90150120070018
270,-32.320698243944626
280,-32.1304849470372
290,-28.027677113488657
300,-40.77635237111191
310,-27.335753959778582
320,-34.467135703688875
330,-29.12424179642453
340,-30.321920794504358
350,-25.873686239342778
360,-26.741441807785993
370,-30.835494830134515
380,-33.384381355346946
390,-32.45743574488712
400,-30.419018151759126
410,-34.26059233358242
420,-37.35004623857329
430,-39.15334702491552
440,-26.898390742185864
450,-20.79306866763374
460,-26.33826314398855
470,-22.327415084650752
480,-23.8665002464868
490,-22.96343126518616
500,-29.024232344046766
510,-24.414701787014838
520,-25.851934769977806
530,-25.183218126287564
540,-21.449371309079517
550,-19.896807378835252
560,-27.46577385749689
570,-24.99075879942467
580,-25.955843255354004
590,-27.98642325913944
600,-28.878363173018954
610,-24.385144938434415
620,-29.958575493436587
630,-20.12172806806138
640,-26.782732077971048
650,-26.18541955049961
660,-24.629833083866366
670,-27.353162304143495
680,-26.211644428373024
690,-34.187728035246316
700,-23.764058630137153
710,-25.18148413606659
720,-28.23175189326428
730,-21.53308713557801
740,-26.517455498500055
750,-26.887838598226768
760,-22.509110964225265
770,-20.046567442215085
780,-21.424908084104295
790,-25.744010465443445
800,-22.26596086535915
810,-19.014432340657017
820,-22.548109408981173
830,-27.036340969803497
840,-21.544588425498773
850,-20.260513178645333
860,-28.351788313310806
870,-27.55255396034582
880,-26.1835015026498
890,-27.653080404784447
900,-29.18604506369976
910,-23.123004551553514
920,-32.624456059772044
930,-33.578787230845386
940,-29.294572199603984
950,-28.406683267210997
960,-25.26686540180382
970,-22.80486643292041
980,-24.713219267983387
990,-21.355956832398107
1000,-25.22697479003031
1010,-25.051269037587396
1020,-26.368436807623947
1030,-27.004438716353064
1040,-28.86353975813097
1050,-30.725936097277064
1060,-21.25308554208261
1070,-23.526907202043905
1080,-23.277703241044755
1090,-25.345237902673517
1100,-33.062264635194
1110,-32.9724338604407
1120,-24.512541282622244
1130,-25.77300548209641
1140,-29.653896953542926
1150,-23.58172653087508
1160,-21.018602635109314
1170,-24.692048189648922
1180,-32.382900655381704
1190,-29.443821752331605
1200,-20.140025693984065
1210,-22.618846333785374
1220,-24.059475509020597
1230,-20.055248030942316
1240,-20.784836145502076
1250,-23.90245241338993
1260,-23.554494580194067
1270,-15.822387745330953
1280,-23.079997985744836
1290,-27.670939645492012
1300,-25.163212326251085
1310,-21.620452233068434
1320,-17.11406044987965
1330,-18.599084166450943
1340,-21.58374441288019
1350,-19.61995328438609
1360,-19.460877124705302
1370,-21.100263755900905
1380,-28.138977945088715
1390,-17.33915733900198
1400,-23.42598090303225
1410,-25.96796563445116
1420,-26.921010381135964
1430,-21.118891098867028
1440,-19.827291120231635
1450,-29.26055127990403
1460,-24.82402715855983
1470,-22.34052331661422
1480,-21.029840260326175
1490,-19.848900707885257
1500,-27.07097385325407
1510,-24.754858236268056
1520,-18.399045198195857
1530,-20.60554306040383
1540,-28.800017751309685
1550,-24.35588950721086
1560,-27.763199413469646
1570,-21.377110790006903
1580,-24.16331389578495
1590,-22.790211322434583
1600,-25.866777510926056
